org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Collins+German+3000+words+and+phrases

	das wesentliche | the essentials
auslaufen | to sail | відпливати
anlegen | to dock | пристиковуватись

der Anker | anchor | якір
die Boje | buoy | буй
die Gangway | gangway | трап
der Hafen | harbour | гавань
der Hafendamm | jetty | набережна гавані
der Rettungsring | lifebuoy | рятувальний круг
die Schwimmweste | lifejacket | рятувальний жилет
die Schleuse | lock | шлюз
der Anlegeplatz | mooring | причал

das Kanalboot | canal boat | човен каналу
das Kanu | canoe | каное
die Fähre | ferry | паром
das Schlauchboot | inflatable dinghy | шлюпка
das Kajak | kayak | каяк
das Passagierschiff | liner | пасажирське судно
das Ruderboot | rowing boat | гребний човен
das Segelboot | sailing boat | вітрильний човен
die Jacht | yacht | яхта


	im haus | in the home
im haus | in the home | в будинку

der Wohnblock | block of flats | житловий будинок

		das wesentliche | the basics

das Reihenhaus | terraced house | будинок із верандою
das Stadthaus | townhouse | заміський будинок
die Villa | villa | вілла
das Gebäude | building | будівля
die Adresse | address | адреса
der Vorort | suburb | передмістя
der Bezirk | district | район
der Makler | letting agent | агент з оренди
die Maklerin | letting agent | агент з оренди
der Immobilienhändler | estate agent | агент з нерухомості
die Immobilienhändlerin | estate agent | агент з нерухомості
der Vermieter | landlord | орендодавець
die Vermieterin | landlady | хазяйка
der Mieter | tenant | орендар
die Mieterin | tenant | орендар
der Nachbar | neighbour | сусід
die Nachbarin | neighbour | сусід
die Hypothek | mortgage | іпотека
die Miete | rent | орендна плата
der Mietvertrag | rental agreement | договір оренди
die Urlaubsvermietung | holiday let | оренда на відпочинок
mieten | to rent | знімати
besitzen | to own | володіти
wohnen | to live | проживати
umziehen | to move house | переїжджати
ein Haus bauen | to build a house | будувати будинок

der Wohnblock | apartment block | житловий будинок
der Bungalow | bungalow | бунгало
das Einzelhaus | detached house | окремий будинок
der Bauernhof | farmhouse | ферма
das Doppelhaus | semi-detached house | двоквартирний будинок
die Einzimmerwohnung | studio flat | однокімнатна квартира

		das haus | the house
das haus | the house | будинок
das Zimmer | room | кімната
der Keller | cellar | підвал
der Dachboden | attic | горище
die Decke | ceiling | стеля
die Wand | wall | стіна
der Boden | floor | поверх
die Veranda | porch | ґанок
die Hintertür | back door | задні двері
die Fenstertür | French windows | французькі вікна
der Balkon | balcony | балкон
das Oberlicht | skylight | мансардне вікно
die Batterie | battery | акумулятор
der Stecker | plug | вилка
der Adapter | adaptor | адаптер
die Steckdose | socket | розетка
die Elektrizität | electricity | електрика
die Klimaanlage | air conditioning | кондиціонер
die Zentralheizung | central heating | центральне опалення
die Parabolantenne | satellite dish | супутникова антена
der Stromausfall | power cut | збій живлення
der Fensterputzer | window cleaner | очисник вікон
die Fensterputzerin | window cleaner | очисник вікон
reparieren | to fix | виправити
dekorieren | to decorate | прикрашати
renovieren | to renovate | ремонтувати

der Boiler | boiler | котел
der Deckenventilator | ceiling fan | стельовий вентилятор
das Verlängerungskabel | extension cable | кабель-подовжувач
der Sicherungskasten | fusebox | блок запобіжників
der Heizkörper | heater | радіатор
die Glühbirne | light bulb | лампочка
der Stromzähler | meter | лічильник електроенергії
der Heizkörper | radiator | радіатор
der Sicherheitsalarm | security alarm | охоронна сигналізація
der Rauchmelder | smoke alarm | детектор диму
das Thermostat | thermostat | термостат
der Holzofen | wood-burning stove | дров'яна піч

das Dach | roof | дах
der Schornstein | chimney | димохід
die Antenne | aerial | антена
die Regenrinne | gutter | дощовий жолоб
das Abflussrohr | drainpipe | зливна труба
der Giebel | gable | фронтон; двосхильний
das Fenster | window | вікно
der Fensterladen | shutter | затвор
das Tor | gate | брама
die Auffahrt | driveway | під'їзна дорога
die Haustür | front door | вхідні двері
die Garage | garage | гараж

		der eingang | the entrance
der eingang | the entrance | вхід

die Haustür | front door | вхідні двері
der Eingang | doorway | вхід
der Flur | hallway / corridor | коридор
der Treppenabsatz | landing | посадка
das Treppenhaus | stairwell | сходова клітка
die Treppe | staircase | сходи
der Aufzug | lift | ліфт
die Fußmatte | doormat | килимок
der Schlüssel | key | ключ
jemanden mit dem Summer hereinlassen | to buzz somebody in | впустіть когось за допомогою зумера
sich die Füße abtreten | to wipe one's feet | витирати ноги
die Jacke aufhängen | to hang one's jacket up | повісити куртку
die Türklingel | doorbell | дверний дзвінок
die Sprechanlage | intercom | домофон
der Briefkasten | letterbox | поштова скринька

		das wohnzimmer | the lounge
das wohnzimmer | the lounge | вітальня

der Teppich | carpet | килим
die Dielen; fpl | floorboards | дошки підлоги
die Garnitur | suite | набір меблів
das Schlafsofa | sofa bed | диван-ліжко
die Tischlampe | table lamp | настільна лампа
das Home-Entertainment-System | home entertainment system | система домашніх розваг
das Kabelfernsehen | cable TV | кабельне телебачення
das Satellitenfernsehen | satellite TV | супутникове телебачення
das Fernsehen auf Abruf | TV on demand | телебачення на замовлення
sich entspannen | to relax | відпочивати
sich setzen | to sit down | сідати
fernsehen | to watch TV | телевізор

das Bücherregal | bookcase | книжкова полиця
die Vorhänge; mpl | curtains | штори
die Vitrine | display cabinet | вітрина
der DVD­Player / Blu­ray­Player® | DVD / Blu-ray® player | DVD-програвач / Програвач Bluray
das Radio | radio | радіо
die Fernbedienung | remote control | пульт дистанційного керування
die Anrichte | sideboard | сервант; буфет
der Fernsehschrank | TV stand | шафа під телевізор
die Jalousie | Venetian blind | жалюзі

die Wandleuchte | wall light | настінний світильник
der Fernseher | TV | телевізор
der Kamin | fireplace | камін
der Couchtisch | coffee table | журнальний столик
das Sofa | sofa | диван
das Bild | picture | фото; малюнок
das Ornament | ornament | орнамент
das Regal | shelves | полиця
der Sessel | armchair | крісло
der Schemel | footstool | стілець
der Teppich | rug | килим
das Kissen | cushion | подушка

		die küche | the kitchen
die küche | the kitchen | кухня

der Kessel | kettle | котел
der Toaster | toaster | тостер
der Elektroherd | electric cooker | електрична плита
der Gasherd | gas cooker | газова духовка
die Abzugshaube | cooker hood | витяжка
kochen | to cook | готувати
braten | to fry | смажити
(unter Rühren) kurz anbraten | to stir-fry | обсмажити (помішуючи)
kochen | to boil | кип'ятити
braten | to roast | смажити
backen | to bake | випікати
das Geschirr spülen | to wash up | мити посуд
die Arbeitsfläche saubermachen | to clean the worktops | очистити робочу поверхню
die Einkäufe einräumen | to put away the groceries | прибрати продукти
das Backblech | baking tray | форма для випічки
die Pressfilterkanne | cafetière | кавоварка; глечик прес-фільтра
der Schmortopf | casserole dish | запіканка
das Hackbrett | chopping board | обробна дошка
das Sieb | colander | друшляк
der Korkenzieher | corkscrew | штопор
die Küchenmaschine | food processor | кухонний комбайн
die Bratpfanne | frying pan | сковорідка
die Reibe | grater | терка
der Handmixer | hand mixer | ручний міксер
das Küchenmesser | kitchen knife | кухонний ніж
der Schöpflöffel | ladle | ківш
der Kartoffelstampfer | masher | картопледавка
der Messbecher | measuring jug | мірна чашка
die Rührschüssel | mixing bowl | миска для змішування
der Schäler | peeler | очищувач
das Nudelholz | rolling pin | качалка
der Kochtopf | saucepan | каструля
das Sieb | sieve | сито
der Spachtel | spatula | шпатель
der Dosenöffner | tin opener | консервний ніж
der Schneebesen | whisk | віночок
der Wok | wok | вок; глибока сковорідка
der Holzlöffel | wooden spoon | дерев'яна ложка

die Alufolie | aluminium foil | алюмінієва фольга
die Mülltüte | bin bag | мішок для сміття
der Brotkasten | bread bin | хлібниця
die Frischhaltefolie | clingfilm | харчова плівка
das Küchenpapier | kitchen roll | кухонний папір
der Treteimer | pedal bin | педальний контейнер для сміття

die Spüle | sink | раковина
der Backofen | oven | піч
das Kochfeld | hob | поверхня плити
der Mikrowellenherd | microwave | мікрохвильова піч
die Kühl­GefrierKombination | fridge-freezer | холодильник з морозильною камерою
der Schrank | cupboard | шафа
der Wasserhahn | tap | кран
das Abtropfbrett | draining board | сушильна дошка
die Schublade | drawer | ящик
die Arbeitsfläche | worktop | робоча поверхня
die Fliesen; fpl | tiles | плитка

		das esszimmer | the dining room
das esszimmer | the dining room | їдальня
der Esstisch | dining table | обідній стіл
das Set | place mat | килимок
der Untersetzer | coaster | підстаканник
das Geschirr | crockery | посуд
das Besteck | cutlery | столові прибори
das Glasgeschirr | glassware | скляний посуд
den Tisch decken | to set the table | накрити на стіл
zu Abend essen | to dine | вечеряти
den Tisch abräumen | to clear the table | прибирати зі столу
die Sauciere | gravy boat | соусник
die Serviette | napkin | серветка
die Pfeffermühle | pepper mill | млин для перцю
die Salatschüssel | salad bowl | салатник
der Salzstreuer | salt cellar | сільничка
der Servierteller | serving dish | сервірувальна тарілка

die Schüssel | bowl | чаша
die Sektflöte | champagne flute | флейта шампанського
die Tasse und die Untertasse | cup and saucer | чашка і блюдце
das Messer und die Gabel | knife and fork | ніж і виделка
der Teller | plate | тарілка; блюдо
der Löffel | spoon | ложка
der Teelöffel | teaspoon | чайна ложка
das Trinkglas | tumbler | склянка
das Weinglas | wine glass | келих для вина

		das schlafzimmer | the bedroom
das schlafzimmer | the bedroom | спальня
das Einzelbett | single bed | односпальне ліжко
das Doppelbett | double bed | двоспальне ліжко
das Hauptschlafzimmer | master bedroom | головна спальня
das Gästezimmer | spare room | кімната для гостей
das eigene Bad | en-suite bathroom | окрема ванна кімната
das Kinderzimmer | nursery | дитяча кімната
die Bettwäsche | bedding | простирадла
ins Bett gehen | to go to bed | лягти спати
schlafen | to sleep | спати
aufwachen | to wake up | прокидатися
das Bett machen | to make the bed | заправляти ліжко
die Laken wechseln | to change the sheets | змінити простирадла

die Decke | blanket | ковдра
das Etagenbett | bunk beds | двоярусне ліжко
der Radiowecker | clock radio | радіогодинник
der Kleiderbügel | coat hanger | вішалка
die Frisierkommode | dressing table | туалетний столик; трюмо
der Föhn | hairdryer | фен
der Wäschekorb | laundry basket | кошик для білизни
die Bettdecke | quilt | ковдра
die Laken; ntpl | sheets | простирадла

der Spiegel | mirror | дзеркало
die Kommode | chest of drawers | комод
das Bett | bed | ліжко
der Kleiderschrank | wardrobe | гардероб
die Bettdecke | duvet | ковдра
die Vorhänge; mpl | curtains | штори
der Sessel | armchair | крісло
die Nachttischlampe | bedside lamp | нічна лампа
der Teppich | rug | килим
das Kopfkissen | pillow | подушка
die Matratze | mattress | матрац
der Nachttisch | bedside table | тумбочка

		das bad | the bathroom
das bad | the bathroom | ванна кімната

der Duschvorhang | shower curtain | шторка для душу
die Toilettenartikel; mpl | toiletries | туалетні приналежності
der Abfluss | drain | злив
duschen | to shower | приймати душ
baden | to have a bath | купатися
sich die Hände waschen | to wash one's hands | мити руки
sich die Zähne putzen | to brush one's teeth | чистити зуби
auf die Toilette gehen | to go to the toilet | піти в туалет

die Badematte | bath mat | килимок для ванни
das Badetuch | bath towel | банний рушник
der Waschlappen | face cloth | мочалка
das Handtuch | hand towel | рушник
der Duschpuschel | shower puff | душова затяжка
die Seife | soap | мило
der Schwamm | sponge | губка
die Klobürste | toilet brush | туалетна щітка
die Rolle Toilettenpapier | toilet roll | рулон туалетного паперу

der Spiegel | mirror | дзеркало
das Waschbecken | sink | умивальник
die Dusche | shower | душ
die Toilette | toilet | туалет
der Handtuchhalter | towel rail | тримач для рушників
der Wasserhahn | tap | кран
das Schränkchen | cabinet | шафа
das Bidet | bidet | біде
die Duschabtrennung | shower screen | душова кабіна
die Badewanne | bath | ванна

		der garten | the garden
der garten | the garden | сад
der Baum | tree | дерево
die Erde | soil | земля
das Gras | grass | трава
die Pflanze | plant | рослина
das Unkraut | weed | бур'ян
das Blumenbeet | flowerbed | клумба
der Kompost | compost | компост
der Kleingarten | allotment | присадибний сад
der Gärtner | gardener | садівник
die Gärtnerin | gardener | садівник
jäten | to weed | полоти
gießen | to water | поливати
anpflanzen | to grow | вирощувати
pflanzen | to plant | саджати

die Terrasse | decking | тераса
die Forke | garden fork | вила садові
der Gartenschlauch | garden hose | садовий шланг
die Gartenhandschuhe; mpl | gardening gloves | садові рукавички
das Gartenhaus | garden shed | садовий будинок
das Gewächshaus | greenhouse | теплиця
die Hacke | hoe | мотика
der Rasenmäher | lawnmower | газонокосарка
der Sonnenschirm | parasol | парасолька
der Blumentopf | plant pot | вазон
die Gartenschere | pruners | садові ножиці
der Spaten | spade | лопата
die Kelle | trowel | кельма
die Gießkanne | watering can | лійка
der Unkrautvernichter | weedkiller | засіб від бур'янів
die Gummistiefel; mpl | Wellington boots | гумові чоботи
der Schubkarren | wheelbarrow | тачка
der Blumenkasten | windowbox | ящик для квітів

das Spalier | trellis | решітка
der Rasen | lawn | газон
der Strauch | shrub | кущ
das Tor | gate | брама
der Zaun | fence | паркан
das Vogelhäuschen | birdbox | шпаківня
die Gartenmöbel; ntpl | patio furniture | садові меблі
der Pfad | path | стежка
die Blumen; fpl | flowers | квіти
die Terrasse | patio | тераса
der Blumentopf | flowerpot | вазон

		die hausarbeit | housework
die hausarbeit | housework | домашня робота
der Hauswirtschaftsraum | utility room | підсобне приміщення
die Haushaltsgeräte; ntpl | household appliances | побутова техніка
die Hausarbeit | chores | домашня робота
das Becken | basin | басейн
der Recyclingbehälter | recycling bin | контейнер для переробки
der Papierkorb | wastepaper basket | кошик для паперів
die Bleiche | bleach | відбілювач
das Desinfektionsmittel | disinfectant | дезінфікуючий засіб
das Spülmaschinentab | dishwasher tablet | таблетка для посудомийної машини
das Waschmittel | laundry detergent | миючий засіб
das Spülmittel | washing-up liquid | засіб для миття посуду
kehren | to sweep the floor | підмітати
die Wäsche waschen | to do the laundry | випрати білизну
staubsaugen | to hoover | пилососити
aufräumen | to tidy up | прибирати
reinigen | to clean | чистити
der Besen | brush | мітла
der Eimer | bucket | відро
der Lappen | cloth | тканина
der Wäscheständer | clothes horse | стелаж для сушіння
die Wäscheklammern; fpl | clothes pegs | прищіпки
die Geschirrspülmaschine | dishwasher | посудомийна машина
der Mülleimer | dustbin | відро для сміття
die Kehrschaufel | dustpan | совок
das Bügeleisen | iron | праска
das Bügelbrett | ironing board | прасувальна дошка
der Mop | mop | швабра
die Gummihandschuhe; mpl | rubber gloves | гумові рукавички
der Topfreiniger | scourer | миючий засіб
das Geschirrtuch | tea towel | кухонний рушник
der Wäschetrockner | tumble drier | сушарка для білизни
der Staubsauger | vacuum cleaner | пилосос
die Wäscheleine | washing line | мотузка для білизни
die Waschmaschine | washing machine | пральна машина

	im laden | at the shops
im laden | at the shops | в магазині

		das wesentliche | the basics

der Laden | shop | магазин
der Supermarkt | supermarket | супермаркет
das Einkaufszentrum | shopping centre | торговий центр
der Verkäufer | shop assistant | продавець
die Verkäuferin | shop assistant | продавець
der Kunde | customer | покупець
die Kundin | customer | покупець
der Markt | market | ринок
das Bargeld | cash | готівка
das Wechselgeld | change | решта
kontaktlos | contactless | безконтактний
der Geschenkgutschein | gift voucher | подарунковий ваучер
die Paybackkarte | loyalty card | картка лояльності
die PIN | PIN | ПІН-код
der Umtausch | exchange | обмін
die Rückerstattung | refund | відшкодування
der Gutschein | voucher | ваучер
die Lebensmittel; ntpl | groceries | бакалія
sich umsehen | to browse | роздивлятися
kaufen | to buy | купити
zahlen | to pay | платити
(Online) einkaufen | to shop (online) | покупки (онлайн)
einkaufen gehen | to go shopping | відправитися за покупками
die Banknoten; fpl | banknotes | банкноти
der Kartenleser | card reader | зчитувач карток
die Münzen; fpl | coins | монети
die Bankkarte / Kreditkarte | debit / credit card | банківська карта / кредитна картка
die Papiertüte | paper bag | паперовий пакет
die Plastiktüte | plastic bag | пластиковий пакет
die Quittung | receipt | квитанція
die wiederverwendbare Einkaufstasche | reusable shopping bag | багаторазова сумка для покупок
die Kasse | till point | касовий апарат

		der supermarkt | supermarket
der supermarkt | supermarket | супермаркет
der Gang | aisle | прохід
das Feinkostgeschäft | delicatessen | делікатес
das Fertiggericht | ready meal | готова страва
die Flasche | bottle | пляшка
die Schachtel | box | коробка
der Pappkarton | carton | картонна коробка
das Einmachglas | jar | банка
der Multipack | multipack | мультиупаковка
das Päckchen | packet | пакунок
die Dose | tin | жерстяна банка
konserviert | tinned | консервований
frisch | fresh | свіжий
tiefgefroren | frozen | заморожений
Milch- | dairy | молочні продукти
fettarm | low-fat | нежирний
kalorienarm | low-calorie | низько калорійний
glutenfrei | gluten-free | не містить глютену

der Korb | basket | кошик
die Waage | scales | ваги
der Einkaufswagen | trolley | візок

die Kekse; mpl | biscuits | печиво
der Couscous | couscous | кус-кус
die Kräuter; ntpl | herbs | трави
der Honig | honey | мед
der Puderzucker | icing sugar | цукрова пудра
der lösliche Kaffee | instant coffee | розчинна кава
die Marmelade | jam | варення
das Ketchup | ketchup | кетчуп
die Orangenmarmelade | marmalade | апельсиновий джем
die Mayonnaise | mayonnaise | майонез
der Senf | mustard | гірчиця
die Nudeln; fpl | noodles | локшина
das Olivenöl | olive oil | оливкова олія
die Nudeln; fpl | pasta | макарони
der Pfeffer | pepper | перець
der Reis | rice | рис
das Salz | salt | сіль
der Zucker | sugar | цукор
die Teebeutel; mpl | teabags | чайні пакетики
das Pflanzenöl | vegetable oil | рослинне масло
der Essig | vinegar | оцет

die Schokolade | chocolate | шоколад
die Kartoffelchips; mpl | crisps | картопляні чіпси
die Nüsse; fpl | nuts | горіхи
die Oliven; fpl | olives | оливки
das Popcorn | popcorn | попкорн
die Süßigkeiten; fpl | sweets | цукерки

das Bier | beer | пиво
die Limo | fizzy drink | газований напій; лимонад
der Fruchtsaft | fruit juice | фруктовий сік
das Mineralwasser | mineral water | мінеральна вода
die Spirituosen; pl | spirits | спиртні напої
der Wein | wine | вино

		der Markt | market
der Markt | market | ринок
der Marktplatz | marketplace | ринок
der Flohmarkt | flea market | барахолка
die Markthalle | indoor market | зал ринку
der Bauernmarkt | farmer's market | фермерський ринок
der Stand | stall | прилавок
der Händler | trader | продавець
die Händlerin | trader | продавець
die Produkte; ntpl | produce | продукти
örtlich | local | локальний
bio | organic | органічний
saisonbedingt | seasonal | сезонний
selbstgemacht | home-made | саморобний

		obst und gemüse | fruit and vegetables
obst und gemüse | fruit and vegetables | фрукти та овочі
der Gemüseladen | greengrocer's | овочевий магазин
der Saft | juice | сік
das Blatt | leaf | листок
die Schale | peel | лушпайка
der Obstkern | pip | ядро плоду
die Schale | rind | кора
der Kern | seed | ядро
der Schnitz | segment | частина
die Schale | skin | шкіра
der Kern | stone | ядро
roh | raw | сирий
frisch | fresh | свіжий
verfault | rotten | гнилий
reif | ripe | стиглий
unreif | unripe | незрілий
kernlos | seedless | безнасінний
hacken | to chop | рубати
würfeln | to dice | нарізати кубиками
raspeln | to grate | натерти
entsaften | to juice | віджимати сок
schälen | to peel | чистити

der Apfel | apple | яблуко
die Aprikose | apricot | абрикос
die Banane | banana | банан
die Brombeere | blackberry | ожина
die schwarze Johannisbeere | blackcurrant | чорна смородина
die Blaubeere | blueberry | чорниця
die Kirsche | cherry | вишня
die Stachelbeere | gooseberry | агрус
die Weintraube | grape | виноград
die Grapefruit | grapefruit | грейпфрут
die Kiwi | kiwi fruit | ківі
die Zitrone | lemon | лимон
die Mango | mango | манго
die Melone | melon | диня
die Orange | orange | апельсин
die Passionsfrucht | passion fruit | маракуйя
der Pfirsich | peach | персик
die Birne | pear | груша
die Ananas | pineapple | ананас
die Pflaume | plum | слива
die Himbeere | raspberry | малина
die rote Johannisbeere | redcurrant | червона смородина
die Erdbeere | strawberry | полуниця
die Wassermelone | watermelon | кавун

die Artischocke | artichoke | артишок
der Spargel | asparagus | спаржа
die Aubergine | aubergine | баклажан
die Rote Beete | beetroot | буряк
der Brokkoli | broccoli | броколі
der Rosenkohl | Brussels sprout | брюссельська капуста
der Kohl | cabbage | капуста
die Karotte | carrot | морква
der Blumenkohl | cauliflower | цвітна капуста
der Sellerie | celery | селера
der Chili | chilli | перець чилі
die Zucchini | courgette | цукіні
die Gurke | cucumber | огірок
der Knoblauch | garlic | часник
die grünen Bohnen; fpl | green beans | зелена квасоля
der Lauch | leek | лук
der Blattsalat | lettuce | листовий салат
der Pilz | mushroom | гриб
die Zwiebel | onion | цибуля
die Erbsen | peas | горох
die Kartoffel | potato | картопля
der rote Paprika | red pepper | червоний перець
der Spinat | spinach | шпинат
die Tomate | tomato | помідор

		das fischgeschäft | fishmonger's
das fischgeschäft | fishmonger's | рибний магазин

der Fischhändler | fishmonger | торговець рибою
die Fischhändlerin | fishmonger | торговець рибою
die Gräte | (fish)bone | кістки
das Filet | fillet | філе
der Rogen | roe | ікра
die Schuppen; fpl | scales | ваги
das Schalentier | shellfish | молюски
Schale | shell | панцир
Süßwasser- | freshwater | прісноводний
Meereswasser- | saltwater | морсько водний
gezüchtet | farmed | розводили
wild | wild | дикий
gesalzen | salted | солений
geräuchert | smoked | копчений
entgrätet | deboned | без кісток
filetiert | filleted | філетований

die Sardelle | anchovy | анчоус
der Kabeljau | cod | тріска
der Aal | eel | вугор
der Schellfisch | haddock | пікша
der Hering | herring | оселедець
die Seezunge | lemon sole | морський язик
die Makrele | mackerel | скумбрія
der Seeteufel | monkfish | морський чорт
der Lachs | salmon | лосось
die Sardine | sardine | сардина
die Brasse | sea bream | лящ
der Rochen | skate | скат
die Forelle | trout | форель
der Thunfisch | tuna | тунець
der Zander | zander | судак

die Venusmuschel | clam | молюск
die Krabbe | crab | краб
die Languste | crayfish | рак
der Hummer | lobster | омар
die Miesmuschel | mussel | мідія
der Kraken | octopus | восьминіг
die Auster | oyster | устриця
die Garnele | prawn | креветка
die Jakobsmuschel | scallop | морський гребінець
der Seeigel | sea urchin | морський їжак
die Garnele | shrimp | креветка
der Tintenfisch | squid | кальмар

		die metzgerei | butcher's
die metzgerei | butcher's | м'ясник

der Metzger | butcher | м'ясник
die Metzgerin | butcher | м'ясник
das Fleisch | meat | м'ясо
das rote / weiße Fleisch | red / white meat | червоне / біле м'ясо
die Wurstwaren; fpl | cold meats | сосиски
das Kalbfleisch | veal | телятина
das Rindfleisch | beef | яловичина
das Rehfleisch | venison | оленина
das Wild | game | дичина
die Ente | duck | качка
die Gans | goose | гусак
das Lammfleisch | lamb | ягня
das Putenfleisch | turkey | індичка
das Schweinefleisch | pork | свинина
die Innereien | offal | нутрощі
das Bratenstück | joint | суглоб
das Würstchen | frankfurter | маленька ковбаска
die Pastete | pâté | паштет
bio | organic | органічний
roh | raw | сирий
gebraten | cooked | смажений
der Speck | bacon | жир
der Hamburger | beefburger | гамбургер
die Bratwurst | bratwurst | ковбаса
das Hähnchen | chicken | курка
das Kotelett | chop | відбивна
der Schinken | ham | шинка
der Leberkäse | meatloaf | м'ясний рулет
das Hackfleisch | mince | м'ясний фарш
die Rippchen; ntpl | ribs | ребра
die Wurst | sausage | ковбаса
das Schnitzel | schnitzel | шніцель
das Steak | steak | стейк

		die bäckerei und die konditorei | bakery and patisserie
die bäckerei und die konditorei | bakery and patisserie | пекарня та кондитерська

der Bäcker | baker | пекар
die Bäckerin | baker | пекар
das Brot | bread | хліб
das Vollkornbrot | wholemeal bread | цільнозерновий хліб
der Brotlaib | loaf | буханець хліба
das Baguette | baguette | багет
das Croissant | croissant | круасан
das Stück | slice | шматок
die Kruste | crust | кірка
der Teig | dough | тісто
das Mehl | flour | мука
glutenfrei | gluten-free | не містить глютену
backen | to bake | випікати
der Apfelstrudel | apple strudel | яблучний штрудель
die Schwarzwälder Kirschtorte | black forest gateau | торт «Шварцвальд»
die Brötchen; ntpl | bread rolls | булочки
der Käsekuchen | cheesecake | чізкейк
das Plundergebäck | Danish pastry | данська випічка
der Berliner | doughnut | пончик
die Obsttorte | fruit tart | фруктовий торт
der Lebkuchen | lebkuchen | пряник
das Marzipan | marzipan | марципан
die Pfannkuchen; mpl | pancakes | млинці
die Brezel | pretzel | крендель
der Stollen | stollen | кекс

		eier und milchprodukte | eggs and dairy products
eier und milchprodukte | eggs and dairy products | яйця і молочні продукти

das Eiweiß | egg white | білок
das Eigelb | egg yolk | яєчний жовток
der Doppelrahm | double cream | подвійні вершки
die saure Sahne | sour cream | сметана
die Margarine | margarine | маргарин
die H-Milch | UHT milk | пастеризоване молоко
die pasteurisierte Milch | pasteurized milk | пастеризоване молоко
die Rohmilch | unpasteurized milk | сире молоко
die Vollmilch | whole milk | цільне молока
die Magermilch | skimmed milk | знежирене молоко
die Halbfettmilch | semi-skimmed milk | напівзнежирене молоко
aus Käfighaltung | caged | від кліткового вирощування
aus Freilandhaltung | free-range | з вільного вигулу
milchfrei | dairy-free | немолочний
die Butter | butter | вершкове масло
die Sahne | cream | крем
das Ei | egg | яйце
die Milch | milk | молоко
die Sojamilch | soymilk | соєве молоко
der Joghurt | yoghurt | йогурт

		der käse | cheese
der käse | cheese | сир

der Blauschimmelkäse | blue cheese | блакитний сир
der Frischkäse | cream cheese | вершковий сир
der Quark | curd cheese | кварк
der Appenzeller | Appenzeller | аппенцеллер
der Camembert | Camembert | камамбер
der Emmental | Emmenthal | ементаль
der Ziegenkäse | goat's cheese | козячий сир
der Mozzarella | mozzarella | моцарела
der Parmesan | parmesan | пармезан
der Roquefort | Roquefort | рокфор
der Räucherkäse | smoked cheese | сир копчений
der Tilsiter | Tilsit cheese | сир тильзіт

		die apotheke | pharmacy
die apotheke | pharmacy | аптека

der Apotheker | pharmacist | фармацевт
die Apothekerin | pharmacist | фармацевт
das Rezept | prescription | рецепт
die Erkältung | cold | застуда
der Durchfall | diarrhoea | діарея
der Heuschnupfen | hay fever | сінна лихоманка
die Kopfschmerzen; mpl | headache | головний біль
die Halsschmerzen; mpl | sore throat | біль у горлі
die Magenschmerzen; mpl | stomachache | біль у животі
das Antihistaminikum | antihistamine | антигістамінний засіб
das Antiseptikum | antiseptic | антисептик
das abschwellende Mittel | decongestant | протинабряковий засіб
das Schmerzmittel | painkiller | болезаспокійливий засіб
die Hand-Waschlotion | handwash | лосьйон для миття рук

die antiseptische Salbe | antiseptic cream | антисептична мазь
der Verband | bandage | бинт
die Kapsel | capsule | капсула
das Kondom | condom | презерватив
der Hustensaft | cough mixture | сироп від кашлю
die Tropfen; mpl | drops | краплі
das Insektenschutzmittel | insect repellent | засіб від комах
die Pastille | lozenge | цукерка
die Medizin | medicine | ліки
das Pflaster | plaster | пластир
die Sonnencreme | suntan lotion | сонцезахисний крем
die Tablette | tablet / pill | таблетка

die Pflegespülung | conditioner | кондиціонер
die Zahnseide | dental floss | зубна нитка
das Mundwasser | mouthwash | рідина для полоскання рота
der Rasierer | razor | бритва
die Damenbinde | sanitary towel | гігієнічна прокладка
das Shampoo | shampoo | шампунь
der Rasierschaum | shaving foam | крем для гоління
das Duschgel | shower gel | гель для душу
die Seife | soap | мило
der Tampon | tampon | тампон
die Zahnbürste | toothbrush | зубна щітка
die Zahnpasta | toothpaste | зубна паста

das Rouge | blusher | рум'янець
der Kamm | comb | гребінець
der Eyeliner | eyeliner | підводка
der Lidschatten | eyeshadow | тіні для повік
die Grundlage | foundation | основа
die Haarbürste | hairbrush | щітка для волосся
das Haarspray | hairspray | лак для волосся
der Lippenbalsam | lip balm | бальзам для губ
der Lippenstift | lipstick | помада
die Mascara | mascara | туш
der Nagellack | nail varnish | лак для нігтів
der Puder | powder | пудра

		für das baby | baby goods
für das baby | baby goods | для дитини

die Kolik | colic | кольки
die Wegwerfwindel | disposable nappy | одноразовий підгузник
das Schaumbad | bubble bath | пінна ванна
die Windeldermatitis | nappy rash | попрілості
zahnen | to be teething | прорізування зубів
stillen | to breast-feed | грудне вигодовування

der Babyschlafanzug | babygro / sleepsuit | дитяча піжама
das Lätzchen | bib | нагрудник
die Babyschühchen; ntpl | bootees | дитячі пінетки
die Fausthandschuhe; mpl | mittens | рукавиці
der Schneeanzug | snowsuit | сніговий костюм
der Body | vest | тіло

die Babynahrung | baby food | дитяче харчування
die Babylotion | baby lotion | дитячий лосьйон
