org.leo.dictionary.config.entity.ParseWords:de:en; uk:die+; das+; der+:%5C%7C:%3B:%3B:%5Ct::German+most+used

	General 

ab | from | з
die Sendung | programme (e.g. TV) | програма (наприклад, по ТБ)
die Serie | series (e.g. on TV) | серіал
der Zeichentrickfilm | cartoon | мультфільм
anschauen | to look at; to watch | дивитися
ansehen | to look at; to watch | дивитися
der Ball | ball (= sport); dance | м'яч (у спорті); танці
fernsehen | to watch TV | дивитися телевізор
der Fernseher | TV set | телевізор
hören | to hear | слухати
der Hörer | receiver (telephone) | слухавка
die Illustrierte | magazine | ілюстрований журнал
das Konzert | concert | концерт
der Kopf(hörer) | head(phones) | навушники
Lieblings | | favourite | улюблений
das Lied | song | пісня
die Musik (Pop / Volks / klassische) | music (pop / folk / classical) | музика (поп / народна / класична)
der Musiker | musician (to play music) | музикант
die Musikerin | musician (to play music) | музикант
die Oper | opera | опера
der Roman | novel | роман
der Sänger | singer | співак / співачка
die Sängerin | singer | співак / співачка
der Schauspieler | actor / actress | актор / актриса
die Schauspielerin | actor / actress | актор / актриса
sehen | to see | бачити
singen | to sing | співати
die Stereoanlage | stereo system | стереосистема
der Tanz | dance | танець
tanzen | to dance | танцювати
das Taschenbuch | paperback | книга у м'якій обкладинці
das Theater(stück) | theatre (play) | театр (п'єса)
die Tragödie | tragedy | трагедія
zeichnen | to draw | малювати
zeigen | to show | показувати
die Zeit | time | час
die Zeitschrift | magazine | журнал
die Zeitung | newspaper | газета
das Abenteuer | adventure | пригода
aufführen | to perform – виконувати
die Aufführung | performance | виступ
der Bildschirm | screen | екран
blasen | to blow | дмухати
die Blaskapelle | brass band | духовий оркестр
die Bühne | stage | сцена
die Fernbedienung | remote control | пульт
die Garderobe | cloakroom (theatre) | гардероб
das Gerät | implement; equipment | пристрій; обладнання
das Geräusch | sound; quiet | звук; тиша
die Medien (Massenmedien) | media | ЗМІ (масові ЗМІ)
der Moderator | TV presenter | ведучий телевізійного ефіру
das Parkett | stalls (theatre) | партер
passieren | to happen | траплятися
der Rang | circle (theatre) | бельетаж
die Stimme | voice | голос
die Stimmung | atmosphere | атмосфера
die Tagesschau | TV evening news | вечірні новини на ТБ
die Unterhaltung | entertainment | розваги
der Untertitel | subtitle | субтитри
die Vorstellung | performance; introduction | вистава; введення
die Werbung | advertising | реклама
der Zuschauer | audience; viewers | глядач; глядачі

	Holidays and exchanges 

der Affe | monkey | мавпа
anders(wo) | different (somewhere else) | інший (десь інде)
die Anmeldung | reception | реєстрація
annehmen | to accept | приймати
anrufen | to phone | дзвонити
der Aufenthalt | stay | перебування
der Aufzug | lift | ліфт
der Ausflug | excursion; trip | екскурсія; поїздка
ausfüllen | to fill in (form) | заповнювати
die Auskunft | information | інформація
das Ausland | abroad | закордон
der Ausländer | foreigner | іноземець / іноземка
die Ausländerin | foreigner | іноземець / іноземка
die Aussicht | view | вид
die Auswahl | choice; selection | вибір; відбір
der Ausweis | identity card; I.D | документ, удостовірюючий особу
der Bär | bear | ведмідь
bedienen | to serve | обслуговувати
die Bedienung | service (=in restaurant) | обслуговування (=у ресторані)
das Bett (Einzel / Doppel) | bed (single/double) | ліжко (одномісне / двомісне)
die Bettwäsche | bedlinen | постільна білизна
bedecken | to cover | покривати
bedeckt | overcast | хмарно
bewölkt | overcast | хмарно
donnern | to thunder | грім
dunkel | dark | темно
frieren | to freeze | замерзати
das Gewitter | thunderstorm | гроза
der Hagel | hail | град
hageln | to hail | падати градом
heiß | hot | спекотно
heiter | bright (= weather) | ясно
die Hitze | heat | спека
kalt | cold | холодно
das Klima | climate | клімат
kühl | cool | прохолодно
der Löwe | lion | лев
nass | wet | мокро
der Nebel | fog(gy); mist(y) | туман; димка
der Regen(mantel) | rain(coat) | дощ (плащ)
der Regenschirm | umbrella | парасолька
regnen | to rain | дощити
regnerisch | rainy | дощово
der Schauer | shower (=weather) | дощ
scheinen | to shine | світити
der Schnee | snow | сніг
schneien | to snow | падати снігом
schön | beautiful; fine (= weather) | гарно; прекрасно
sich sonnen | to sunbathe | засмагати
die Sonne | sun | сонце
sonnig | sunny | сонячно
Sturm | storm(y) | штормовий
stürmisch | storm(y) | штормовий
Wetter (Bericht / Vorhersage) | weather (forecast) | прогноз погоди
windig | windy | вітряно
Wolke (wolkenlos) | cloud(less) | хмара (безхмарно)
wolkig | cloudy | хмарно
Blick | look; glance | погляд
bleiben | to stay; remain | залишатися
Broschüre | brochure | брошура
Campingplatz | camping; camp site | кемпінг; табір
Empfang(sdame) | reception(ist) | приймання (рецепція)
Ferien | holiday | відпустка
Formular | form | форма
Fotoapparat | camera | фотоапарат
Fotograf/in | photographer(‘s) | фотограф
Fundbüro | lost property office | бюро знахідок
Gast | guest | гість
Gastgeber | host | господар
Gasthaus | pub | пивниця
Gasthof | pub | пивниця
Gaststätte | restaurant; pub | ресторан; півниця
Gepäck | luggage | багаж
gültig | valid | дійсний
Herbergseltern | wardens (of youth hostel) | батьки | опікуни (молодіжного готелю)
Insel | island | острів
Jugendherberge | youth hostel | молодіжний готель
Koffer | suitcase | валіза
Küste | coast | узбережжя
Lagerfeuer | camp fire | табірний вогонь
Land (auf dem / aufs) | country (in the / to the) | країна (в / до)
Landkarte | map | карта
Landschaft | countryside; scenery | краєвид
Luxus | luxury | розкіш
Meer | sea | море
mitnehmen | to take (with you) | брати з собою
Ort | place | місце
Pass (Reisepass) | passport | паспорт
Pension (Vollpension) | boarding house (full board) | пансіонат (повний пансіон)
Personalausweis | identity card | посвідчення особи
Prospekt | leaflet | буклет
Reise | journey (longer) | подорож
Reisebüro | travel agent’s | турагентство
Reisebus | coach | автобус
reisen | to travel | подорожувати
Reisende(r) | traveller | мандрівник
Reisescheck | traveller’s cheque | чек подорожуючого
Reiseziel | destination | місце призначення
Sand(burg) | sand (castle) | пісок (замок)
Scheckheft | cheque book | чекова книжка
Schlafsack | sleeping bag | спальний мішок
Sonnenbrand | sunburn | сонячний удар
Sonnencreme | sun cream; lotion | сонячний крем; лосьйон
Steward/ess | air steward; hostess | стюард; стюардеса
Strand | beach | пляж
suchen | to look for | шукати
Taschenlampe | torch | ліхтар
Taschenmesser | pocket knife; penknife | кишеньковий ніж
Überfahrt | crossing (sea) | переправа
übernachten | to stay the night – переночувати
Unterkunft | accommodation | проживання
unterwegs | on the way | в дорозі
Urlaub | holiday | відпустка
Welle | wave | хвиля
Wohnwagen | caravan | будка на колесах
Zelt | tent | намет
zelten | to camp | ставати в палатку
Zimmer (Einzel | , Doppel | , Familien | ) | room (single / double / family) | кімната (одномісна / двомісна / сімейна)
Zimmer frei | rooms available/ B & B | вільні номери; зручності для сніданку
Zimmermädchen | maid | горнична
Aufenthaltsdauer | length (of stay) | тривалість перебування
Aufheiterungen | bright periods | ясні періоди
austauschen | to exchange | обмінюватися
entkommen | to escape | втекти
entscheiden | to decide | вирішити
entspannen (sich) | to relax | розслабитися
feucht | humid | вологий
Fremdenführer | tour guide | екскурсовод
freuen (sich) auf | to look forward to | чекати з нетерпінням
freuen (sich) über | to be pleased about | радіти чому | небудь
Führung | guided tour | екскурсія
Kurs | exchange rate | курс обміну
lauwarm | lukewarm | прохолодний
Niederschlag | precipitation | опади
Reiseführer | tourist guide | туристичний посібник
Rolltreppe | escalator | ескалатор
Rundgang | guided tour | оглядова екскурсія
Rundfahrt | guided tour | оглядова екскурсія
Schatten | shade | тінь
Tropfen | drop (e.g. water) | крапля
veränderlich | changeable | змінний
verändern (sich) | to change | змінюватися
wechselhaft | changeable | змінний

	Environmental, cultural and social issues 

Abfall(eimer) | rubbish (bin/dustbin) | смітник
Ampel | traffic lights | світлофор
Angst haben | to be frightened | боятися
anspringen | to start (cars) | запалювати
arm | poor | бідний
Blei | lead | свинець
Brand | fire | пожежа
Erde | earth | земля
Grad | degree | градус
Grenze | border | кордон
herrlich | splendid; wonderful | чудовий
Himmel | sky | небо
hoch | high | високий
Jahr(eszeit) | year (season) | рік (сезон)
jährlich | annually | щорічно
Luft | air | повітря
Müll(tonne) | rubbish/waste (dustbin) | сміттєвий бак
Nachteil | disadvantage | недолік
niedrig / tief | low – низький
Abschleppwagen | breakdown lorry | відбуксирувальний вантажівка
abschliessen | to lock up | закривати (на замок)
Altpapier | recycled paper | вторинна сировина
anzünden | to light | запалювати
aufgeben | to stop; give up | відмовлятися; кидати
behandeln | to treat | лікувати
Behandlung | treatment | лікування
behindert | disabled | інвалідний
beklagen (sich) | to complain | скаржитися
beleuchten | to light up | освітлювати
beschädigen | to damage | пошкоджувати
beschäftigt | busy | зайнятий
beschließen | to decide | вирішувати
beschweren (sich) | to complain | скаржитися
bessern (sich) | to improve | покращувати
Besserung | improvement; getting better | покращення
bestätigen | to confirm | підтверджувати
bestehen auf | to insist on | наполягати на
betrügen | to deceive | обманювати
betrunken | drunk | п'яний
beweisen | to prove | доводити
Dieb(stahl) | thief (theft) | злодій (крадіжка)
dringend | urgent | невідкладний
drogensüchtig | drug dependent | наркоман
drohen | to threaten | загрожувати
Einbrecher | burglar – зломник
der ertrinken | to drown | тонути
der Flaschencontainer | bottle bank | контейнер для пляшок
der Fleck | stain; spot | пляма
das Gefängnis | prison | в'язниця
die Geldstrafe | fine (money) | грошовий штраф
das Gesetz | law | закон
das gestattet | permitted | дозволено
die Gewohnheit | custom; habit | звичка
die globale Erwärmung | global warming | глобальне потепління
klagen | to complain | скаржитися
das Kraftwerk | power station | електростанція
löschen | to extinguish; put out | загасити
lösen | to solve | вирішити
lügen | to lie | брехати
das Missverständnis | misunderstanding | непорозуміння
der Mond | moon | місяць
der Mord | murder | вбивство
der Notruf | emergency (phone call) | служба порятунку (телефонний дзвінок)
der Rat | advice; council | порада; рада
raten | to advise; guess | радити; вгадувати
recyceln | to recycle | переробляти
reduzieren | to reduce | зменшувати
die Regel | rule | правило
die Regierung | government | уряд
das Retten | to save; rescue | рятувати
die Rettung | rescue | рятування
das Risiko | risk | ризик
der Rollstuhl | wheelchair | інвалідне крісло
sich schämen | to be ashamed | соромитися
schulden | to owe | боргувати
schuldig | guilty; owing | винен; боржник
schützen | to protect | захищати
die Sozialwohnung | council house | комунальна квартира
stehlen | to steal | красти
sterben | to die | померти
der Tod | death | смерть
töten | to kill | вбивати
trampen / per Anhalter fahren | to hitch | hike | подорожувати автостопом
der Treibhauseffekt | greenhouse effect | парниковий ефект
überschwemmen | to flood | затоплювати
umkommen / ums Leben kommen | to die | загинути
umtauschen | to exchange | обмінювати
der Unterschied | difference | відмінність
verbrauchen | to consume; use up | споживати; використовувати
verderben | to spoil; pollute | псувати; забруднювати
vergiften | to poison | отруювати
der Vergleich | comparison (to compare) | порівняння (порівнювати)
verhaften | to arrest | арештувати
sich verirren / verlaufen | to lose one’s way; to get lost | загубитися; заблукати
vermeiden | to avoid | уникати
verschmutzen | to pollute (pollution) | забруднювати (забруднення)
verschwenden | to waste | марнувати
verschwinden | to disappear | зникати
versichern | to insure (insurance) | страхувати (страховка)
verstecken | to hide | приховувати
wegwerfen | to throw away | викидати
wieder verwerten | to recycle | повторно використовувати
zerstören | to destroy | знищувати
der Zeuge | witness – свідок

	School life 

das Abitur | A level exam / A level student | випускний іспит / випускник / випускниця
der Abiturient | A level exam / A level student | випускний іспит / випускник / випускниця
die Abiturientin | A level exam / A level student | випускний іспит / випускник / випускниця
die Aufgabe | exercise; task | завдання
aufhören | to stop (doing something) | припиняти
aufmachen | to open | відкривати
aufräumen | to tidy; clear up; away | прибирати
aufpassen | to pay attention | уважно слухати
die Aula | school hall | актова зала
ausmachen | to turn off | вимикати
die Doppelstunde | double period | подвійний урок
das Gebäude | building | будівля
das Gespräch | conversation | розмова
die Gruppe | group | група
die Hausaufgaben | homework; housework | домашнє завдання; домашня робота
die Hausarbeit | homework; housework | домашнє завдання; домашня робота
nach Hause | home (going home) | додому
der Hausmeister | caretaker | консьєрж / консьєржка
die Hausmeisterin | caretaker | консьєрж / консьєржка
die Haustür | front door | вхідні двері
das Heft | exercise book | зошит
interessant | interesting | цікавий
sich interessieren für | to be interested in | цікавитися чимось
die Kindheit | childhood | дитинство
die Klasse (zweite Klasse) | class (2nd class) | клас (другий клас)
die Klassenarbeit | test; assessment | контрольна робота
der Klassenkamerad | classmate | однокласник / однокласниця
die Klassenkameradin | classmate | однокласник / однокласниця
das Klassenzimmer | classroom | класна кімната
kompliziert | complicated | складний
korrigieren | to correct; mark | виправляти; оцінювати
das Labor | laboratory | лабораторія
sich langweilen | to be bored | нудьгувати
langweilig | boring | нудний
der Lärm | noise (loud) | шум
lehren | to teach | вчити
der Lehrer | teacher | вчитель / вчителька
die Lehrerin | teacher | вчитель / вчителька
der Lehrling | ship) | навчання в професії / практикант
die Lehrlingschaft | apprentice ( | ship) | навчання в професії / практикант
leicht | light (weight); easy | легкий
lernen | to learn | вчитися
lesen | to read | читати
das Lesen | reading | читання
die Note | mark | оцінка
nötig | necessary | необхідний
notwendig | necessary | необхідний
nützlich | useful | корисний
nutzlos | useless | непотрібний
die Oberstufe | sixth form | старший курс
die Pause | break; lunch break | перерва; обідня перерва
die Mittagspause | break; lunch break | перерва; обідня перерва
der Platz | seat; room; square; court; pitch | місце; кімната; майданчик
prüfen | to test; examine; check | перевіряти; тестувати
die Prüfung | examination | іспит
das Examen | examination | іспит
der Punkt | point (place / score / idea); full stop | точка (місце / бал / ідея); крапка
pünktlich | punctual; on time | пунктуальний; вчасний
richtig | right; correct – правильний
der Saal | hall (large room / concert) | зал; зала
die Halle | hall (large room / concert) | зал; зала
schreiben | to write | писати
das Schreibpapier | writing paper | письмовий папір
das Schreibwarengeschäft | stationer's | канцелярський магазин
der Schuldirektor | head teacher | директор школи
die Schuldirektorin | head teacher | директор школи
die Schule | school | школа
der Schüler | pupil | учень / учениця
die Schülerin | pupil | учень / учениця
der Schüleraustausch | school exchange | шкільний обмін
der Schulhof | school playground | шкільний подвір'я
die Schulstunde | lesson | урок
schwach | weak; poor (work) | слабкий; поганий
schweigen | to be silent; to say nothing | мовчати
schwer | hard; difficult | складний
schwierig | difficult | складний
die Seite | page; side | сторінка; бік
das Semester | term | семестр / триместр
das Trimester | term | семестр / триместр
stimmt (das stimmt) | that's right | це правда
der Student | student | студент / студентка
die Studentin | student | студент / студентка
studieren | to study | вивчати; навчатися
die Stunde | hour | година
der Stundenplan | timetable (school) | розклад занять (шкільний)
die Tafel | board (black / white) | дошка (шкільна)
der Tag | day | день
das Tagebuch | diary (account) | щоденник
der Unterricht | lessons | уроки
unterrichten | to teach | викладати
der Versuch | experiment; attempt | спроба; експеримент
versuchen | to try (to do something) | спробувати (щось зробити)
die Wahl(fach) | choice (option subject) | вибір (вибірковий предмет)
wählen | to choose | вибирати
wissen | to know (facts) | знати (факти)
die Woche | week | тиждень
das Wochenende | weekend | вихідні
das Wort | word | слово
zu hören | to listen to | слухати
der Bleistift | pencil | олівець
das Etui | pencil case | пенал
der Filzstift | felt tip pen | фломастер
füllen | to fill | наповнювати
der Füller | fountain pen | ручка з пером
der Gummi | rubber (eraser) | гумка (стерка)
der Kugelschreiber | biro / ball point pen | кулькова ручка / ручка
der Kuli | biro / ball point pen | кулькова ручка / ручка
das Lineal | ruler | линійка
das Notizbuch | note book | блокнот
das Papier(e) | paper(s); documents | папір; документи
der Radiergummi | rubber (eraser) | гумка (стерка)
die Sache(n) | thing (things / belongings) | річ (речі / речення)
die Schere | scissors | ножиці
der Stift | something to write with | письмовий інструмент
das Stück | piece (paper / cake etc) | шматок
der Taschenrechner | calculator | калькулятор
das Taschentuch | handkerchief | хустка
das Wörterbuch | dictionary | словник
der Zettel | note; piece of paper | записка; аркуш

Chemie | chemistry | хімія
Erdkunde | geography | географія
das Fach | subject (option) | предмет (вибірковий предмет)
das Wahlfach | subject (option) | предмет (вибірковий предмет)
die Fremdsprache | language (foreign) | іноземна мова
die GCSE | Prüfungen | GCSE exams | іспити зі здобуття сертифікату GCSE
die Geschichte | history | історія
die Hauswirtschaftslehre | home economics | домашня економіка
die Informatik | I.T. | інформатика
die Mathematik | maths | математика
die Naturwissenschaften | science | природничі науки
das Pflichtfach | compulsory subject | обов'язковий предмет
die Physik | physics | фізика
die Religion | R.E. (Religious Education) | релігійна освіта
die Technologie | CDT (Craft, Design and Technology) | технології
das Turnen | P.E. (Physical Education) | фізичне виховання
die Turnhalle | gymnasium | спортивний зал; гімназія
die Berufsschule | technical college | професійно | технічний коледж
die Gesamtschule | comprehensive school | загальноосвітня школа
die Grundschule | primary school | початкова школа
das Gymnasium | grammar school | гімназія
die Hauptschule | secondary modern school | базова школа
das Internat | boarding school | інтернат
der Kindergarten | nursery school | дитячий садок
die Privatschule | private school | приватна школа
die Realschule | secondary technical school | реальна школа
die Universität | college; university | університет; вищий навчальний заклад
die Uni | college; university | університет; вищий навчальний заклад
Higher | higher | вищий
der Aufsatz | essay | есе
die Belohnung | reward | винагорода
Bemerken | to notice | помічати
sich benehmen | to behave | вести себе
beobachten | to watch; observe | спостерігати
die Betriebswirtschaft | business studies | бізнес | економіка
die Bildung | education | освіта
brav | well behaved | слухняний; бідний
das Brett (schwarzes) | notice board | дошка оголошень (чорна)
durchfallen | to fail (exam) | провалюватися (екзамен)
einreichen | to hand in | подавати
falten | to fold | складати
der Fortschritt | progress | прогрес
der Gang | corridor; gear | коридор; передача
herausfinden | to find out; learn | дізнатися
herunterladen | to (down)load | завантажувати
kleben | to stick | клеїти
loben | to praise | хвалити
sich lohnen | to be worthwhile | бути вигідним
mangelhaft | poor | незадовільний
meinen | to mean; think | мислити; вважати
mündlich | oral | усно
nachdenken | to think over; reflect | обдумувати
nachsitzen | to be kept in | сидіти після уроків
müssen | to have to; must | повинен; треба
rechnen | to calculate | рахувати
die Rolle | role | роль
schaffen | to succeed; achieve | досягати
schriftlich | in writing | письмово
das Schulzeugnis | school report | шкільний звіт
sitzen bleiben | to repeat the year | повторювати рік
die Sozialkunde | social science | соціальні науки
stören | to disturb; interrupt | перешкоджати; переривати
übersetzen | to translate | перекладати
die Übersetzung | translation | переклад
die Umfrage | survey | опитування; анкетування
die Meinungsumfrage | survey | опитування; анкетування
verbessern | to correct; improve | вдосконалювати
die Versammlung | meeting; school assembly | збори; шкільна асамблея
die Vokabeln | vocabulary | словниковий запас
zählen | to count – рахувати

	Work experience, future study and jobs 

die Arbeit | work | робота
arbeiten | to work | працювати
der Arbeiter | worker | робітник / робітниця
die Arbeiterin | worker | робітник / робітниця
die Ausbildung | training | навчання
ausbilden | to train | навчати
der Bericht | report | звіт
der Beruf | profession | професія
das Betriebspraktikum | work experience | стажування
die Brieftasche | wallet | гаманець
das Büro | office | офіс
die Fabrik | factory | фабрика
der Feierabend | end of work day | закінчення робочого дня
der Feiertag | public holiday | святковий день
die Firma | firm; company | фірма; компанія
der Betrieb | firm; company | фірма; компанія
die Ganztagsstelle | full time job | повна робота
das Gehalt | salary; pay | зарплата
das Geld(tasche) | money (purse) | гроші; гаманець
die Kasse | till; cash desk | каса
das Kleingeld | change (small) | дрібні гроші
das Konto | account (bank) | рахунок (банківський)
die Kreditkarte | credit card | кредитна картка
der Kunde | customer | клієнт / клієнтка
die Kundin | customer | клієнт / клієнтка
der Lohn | wages | зарплата; оплата праці
die Münze | coin | монета
das Pfund | pound (= sterling/ weight) | фунт
die Reklame | advert | реклама
der Schein | note (e.g. 50 euros) | купюра
die Stelle | place; job | місце; робота
das Taschengeld | pocket money | кишенькові гроші
die Teilzeitarbeit | part time work | неповна зайнятість
das Telefonbuch | telephone directory | телефонний довідник
die Telefonzelle | telephone box | телефонна будка
der Termin | appointment | зустріч; призначений час
die Theke | counter | прилавок; стійка
das Trinkgeld | tip (money) | чайові
der Umschlag | envelope | конверт
unterschreiben | to sign | підписувати
die Unterschrift | signature | підпис
verdienen | to earn | заробляти
die Vorwahl | dialling code | телефонний код
weiter machen | to continue; carry on (doing something) | продовжувати
die Zukunft | future – майбутнє
der Arbeitslose | unemployed | безробітний / безробітна
die Arbeitslose | unemployed | безробітний / безробітна
die Armee | army | армія
der Arzt | doctor | лікар / лікарка
die Ärztin | doctor | лікар / лікарка
das Babysitten | babysitting | нянювання
babysitten | to babysit | нянювати
der Beamte | civil servant; official | держслужбовець / держслужбовецька
die Beamtin | civil servant; official | держслужбовець / держслужбовецька
der Briefträger | postman / woman | поштар / поштарка
die Briefträgerin | postman / woman | поштар / поштарка
der Chef | boss | керівник / керівниця
die Chefin | boss | керівник / керівниця
der Elektriker | electrician | електрик / електрик
die Elektrikerin | electrician | електрик / електрик
die Feuerwehr | fire brigade | пожежна команда
der Feuerwehrmann | fireman / woman | пожежник / пожежниця
die Feuerwehrfrau | fireman / woman | пожежник / пожежниця
der Frisör | hairdresser | перукар / перукарка
die Friseurin | hairdresser | перукар / перукарка
der Geschäftsmann | businessman / woman | бізнесмен / бізнесвумен
die Geschäftsfrau | businessman / woman | бізнесмен / бізнесвумен
der Händler | shopkeeper | торговець / торговиця
die Händlerin | shopkeeper | торговець / торговиця
der Ingenieur | engineer | інженер / інженерка
die Ingenieurin | engineer | інженер / інженерка
der Kassierer | cashier | касир / касирка
die Kassiererin | cashier | касир / касирка
der Kellner | waiter / waitress | офіціант / офіціантка
die Kellnerin | waiter / waitress | офіціант / офіціантка
der Klempner | plumber | водопровідник / водопровідниця
die Klempnerin | plumber | водопровідник / водопровідниця
der Koch | cook; chef | кухар / кухарка
die Köchin | cook; chef | кухар / кухарка
kochen | to cook | готувати
der Künstler | artist | художник / художниця
die Künstlerin | artist | художник / художниця
der Ladenbesitzer | shop (owner / keeper) | власник магазину / власниця магазину
die Ladenbesitzerin | shop (owner / keeper) | власник магазину / власниця магазину
der Leiter | manager; leader | керівник / керівниця
die Leiterin | manager; leader | керівник / керівниця
die Leiter | ladder | драбина
die Mauer | wall | стіна
der Maurer | builder | муляр
der Mechaniker | mechanic | механік
die Mechanikerin | mechanic | механік
der Programmierer | programmer | програміст / програмістка
die Programmiererin | programmer | програміст / програмістка
der Sekretär | secretary | секретар / секретарка
die Sekretärin | secretary | секретар / секретарка
der Soldat | soldier | солдат / солдатка
die Soldatin | soldier | солдат / солдатка
der Tierarzt | vet | ветеринар / ветеринарка
die Tierärztin | vet | ветеринар / ветеринарка
der Verkäufer | sales assistant | продавець / продавчиня
die Verkäuferin | sales assistant | продавець / продавчиня
der Arbeitgeber | employer | роботодавець
der Arbeitnehmer | employee | працівник
das Arbeitsamt | job centre | центр зайнятості
die Arbeitslosigkeit | unemployment | безробіття
die Berufsberatung | careers advice | кар'єрна консультація
bewerben (sich) | to apply for a job | подавати заяву на роботу
das Bewerbungsgespräch | job interview | співбесіда
die Gelegenheit | opportunity; chance | можливість; шанс
gelingen | to succeed | вдастися
der Hochschulabschluss | degree | вища освіта
das Jura | law | право
der Lebenslauf | CV | резюме
leisten | to achieve | досягати
die Leistung | achievement | досягнення
der Matrose | sailor | моряк
die Seemann | sailor | моряк
die Pension | retirement | пенсія 
das Personal | staff | персонал
qualifiziert | qualified | кваліфікований
die Quittung | receipt | квитанція
die Rente | pension | пенсія
tippen | to type | друкувати (на клавіатурі)
der Universitätsabschluss | degree | ступінь (вищої освіти)
der Uniabschluss | degree | ступінь (вищої освіти)
vorhaben | to plan | планувати
der Vorschlag | suggestion | пропозиція
das Vorstellungsgespräch | job interview | співбесіда
